package,package_version,layer_version_arn,time_to_live
envelopes,0.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-envelopes:1,
idna,2.8,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-idna:1,18-03-2020
arrow,0.14.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-arrow:1,
jellyfish,0.7.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-jellyfish:1,
flashtext,2.7,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-flashtext:1,
itsdangerous,1.1.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-itsdangerous:1,
PyJWT,1.7.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyJWT:1,
PyMySQL,0.9.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyMySQL:1,
python-Levenshtein-wheels,0.13.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-python-Levenshtein-wheels:1,
PyMUPDF,1.14.19,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyMUPDF:1,
python-docx,0.8.10,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-python-docx:1,
scipy,1.3.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-scipy:1,
boto3,1.9.202,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:1,
boto3,1.9.203,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:2,
boto3,1.9.204,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:3,
kafka-python,1.4.7,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-kafka-python:2,18-03-2020
pytz,2019.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pytz:2,
textdistance,4.1.5,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-textdistance:1,
ffmpeg-python,0.2.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-ffmpeg-python:4,
Cerberus,1.3.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-Cerberus:2,
ldap3,2.6.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-ldap3:4,01-04-2020
simplejson,3.17.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-simplejson:2,
python-docx,0.8.10,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-python-docx:3,04-03-2020
tinydb,3.15.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tinydb:5,
PyMUPDF,1.16.10,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyMUPDF:13,25-03-2020
beautifulsoup4,4.8.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-beautifulsoup4:6,25-03-2020
pyparsing,2.4.6,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyparsing:3,
pulp,2.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pulp:4,
Pillow,7.0.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-Pillow:4,
PyYAML,5.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyYAML:3,
boltons,20.0.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boltons:4,
aiodns,2.0.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiodns:6,11-03-2020
openpyxl,3.0.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-openpyxl:6,
pymongo,3.10.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pymongo:4,
aiohttp,3.6.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiohttp:13,18-03-2020
numpy,1.18.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-numpy:7,
opencv-python-headless,4.1.2.30,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-opencv-python-headless:8,04-03-2020
scipy,1.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-scipy:10,
loguru,0.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-loguru:3,
tablib,1.0.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tablib:9,18-03-2020
arrow,0.15.5,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-arrow:9,
bcrypt,3.1.7,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-bcrypt:6,11-03-2020
PyNaCl,1.3.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyNaCl:6,11-03-2020
grpcio,1.26.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-grpcio:8,11-03-2020
nltk,3.4.5,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-nltk:4,
pyOpenSSL,19.1.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyOpenSSL:9,11-03-2020
pandas,0.25.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pandas:12,04-03-2020
construct,2.10.54,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-construct:3,04-03-2020
elasticsearch,7.5.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-elasticsearch:8,
gspread,3.1.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-gspread:7,04-03-2020
graphene,2.1.8,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-graphene:7,
requests,2.22.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-requests:7,25-03-2020
tldextract,2.2.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tldextract:10,18-03-2020
google-auth,1.11.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth:11,18-03-2020
pytesseract,0.3.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pytesseract:8,
google-auth-oauthlib,0.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:16,18-03-2020
SQLAlchemy,1.3.13,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-SQLAlchemy:8,
grequests,0.4.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-grequests:7,25-03-2020
boto3,1.11.9,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:28,11-03-2020
pyqldb,1.0.0rc2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyqldb:13,11-03-2020
aws-xray-sdk,2.4.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aws-xray-sdk:24,11-03-2020
aiobotocore,0.11.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiobotocore:20,18-03-2020
ansible,2.9.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-ansible:14,04-03-2020
spacy,2.2.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-spacy:16,04-03-2020
construct,2.10.56,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-construct:4,
gspread,3.2.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-gspread:8,25-03-2020
python-docx,0.8.10,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-python-docx:4,
pandas,1.0.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pandas:13,11-03-2020
opencv-python-headless,4.2.0.32,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-opencv-python-headless:9,
spacy,2.2.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-spacy:17,11-03-2020
ansible,2.9.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-ansible:15,11-03-2020
bcrypt,3.1.7,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-bcrypt:7,
aiodns,2.0.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiodns:7,
PyNaCl,1.3.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-PyNaCl:7,
grpcio,1.27.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-grpcio:9,18-03-2020
pyOpenSSL,19.1.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyOpenSSL:10,
boto3,1.11.13,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:29,18-03-2020
aws-xray-sdk,2.4.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aws-xray-sdk:25,18-03-2020
pyqldb,1.0.0rc2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pyqldb:14,18-03-2020
pandas,1.0.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-pandas:14,
ansible,2.9.4,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-ansible:16,18-03-2020
spacy,2.2.3,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-spacy:18,25-03-2020
tablib,1.1.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tablib:10,
idna,2.9,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-idna:2,
kafka-python,2.0.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-kafka-python:3,25-03-2020
google-auth,1.11.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth:12,
aiohttp,3.6.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-aiohttp:14,25-03-2020
tldextract,2.2.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-tldextract:11,25-03-2020
google-auth-oauthlib,0.4.1,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:17,25-03-2020
grpcio,1.27.2,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-grpcio:10,
boto3,1.12.0,arn:aws:lambda:ap-east-1:113088814899:layer:Klayers-python37-boto3:30,25-03-2020
