package,package_version,layer_version_arn,time_to_live
pyparsing,2.4.1.1,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-pyparsing:1,
PyJWT,1.7.1,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-PyJWT:1,
pickleDB,0.9.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-pickleDB:1,
itsdangerous,1.1.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-itsdangerous:1,
idna,2.8,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-idna:1,18-03-2020
flashtext,2.7,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-flashtext:1,
PyYAML,5.1.1,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-PyYAML:1,
construct,2.9.45,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-construct:2,19-02-2020
envelopes,0.4,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-envelopes:1,
arrow,0.14.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-arrow:1,
jsonrpclib,0.1.7,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-jsonrpclib:1,
python-Levenshtein-wheels,0.13.1,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-python-Levenshtein-wheels:1,
google-auth,1.6.3,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-google-auth:1,
pytz,2019.1,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-pytz:3,
PyMySQL,0.9.3,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-PyMySQL:1,
google-auth-oauthlib,0.4.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:1,
PyMUPDF,1.14.19,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-PyMUPDF:1,
python-docx,0.8.10,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-python-docx:1,
aiobotocore,0.10.3,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-aiobotocore:1,
ansible,2.8.3,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-ansible:1,
pandas,0.25.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-pandas:1,
scipy,1.3.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-scipy:1,
boto3,1.9.197,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-boto3:3,
jellyfish,0.7.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-jellyfish:1,
arrow,0.14.4,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-arrow:2,
google-auth-oauthlib,0.4.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-google-auth-oauthlib:2,
boto3,1.9.200,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-boto3:4,
boto3,1.9.201,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-boto3:5,
boto3,1.9.202,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-boto3:6,
boto3,1.9.203,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-boto3:7,
boto3,1.9.204,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-boto3:8,
kafka-python,1.4.7,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-kafka-python:2,18-03-2020
pytz,2019.3,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-pytz:5,
textdistance,4.1.5,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-textdistance:1,
ffmpeg-python,0.2.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-ffmpeg-python:4,
Cerberus,1.3.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-Cerberus:2,
bcrypt,3.1.7,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-bcrypt:8,19-02-2020
PyNaCl,1.3.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-PyNaCl:5,19-02-2020
nltk,3.4.5,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-nltk:3,19-02-2020
elasticsearch,7.1.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-elasticsearch:9,19-02-2020
ldap3,2.6.1,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-ldap3:4,
simplejson,3.17.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-simplejson:2,
pyOpenSSL,19.1.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-pyOpenSSL:12,19-02-2020
loguru,0.4.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-loguru:2,19-02-2020
gspread,3.1.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-gspread:6,26-02-2020
requests,2.22.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-requests:10,26-02-2020
tldextract,2.2.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-tldextract:12,19-02-2020
python-docx,0.8.10,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-python-docx:3,04-03-2020
grequests,0.4.0,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-grequests:6,26-02-2020
tinydb,3.15.2,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-tinydb:5,
graphene,2.1.8,arn:aws:lambda:ap-northeast-1:113088814899:layer:Klayers-python37-graphene:5,19-02-2020
