Package,Package Version,Status,Expiry Date,Arn
aiobotocore,1.2.2,deprecated,2021-06-11T02:01:45,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aiobotocore:43
aiobotocore,1.3.0,deprecated,2021-07-02T02:02:45,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aiobotocore:44
aiobotocore,1.3.0,deprecated,2021-07-09T02:02:12,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aiobotocore:45
aiobotocore,1.3.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aiobotocore:46
aiohttp,3.7.4.post0,deprecated,2021-07-02T02:00:33,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aiohttp:25
aiohttp,3.7.4.post0,deprecated,2021-07-09T02:01:34,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aiohttp:26
aiohttp,3.7.4.post0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aiohttp:27
ansible,2.9.13,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-ansible:19
arrow,1.0.3,deprecated,2021-07-02T02:01:11,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-arrow:11
arrow,1.1.0,deprecated,2021-07-09T02:01:29,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-arrow:12
arrow,1.1.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-arrow:13
aws-lambda-powertools,1.12.0,deprecated,2021-05-28T02:02:17,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:67
aws-lambda-powertools,1.13.0,deprecated,2021-06-04T02:01:23,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:68
aws-lambda-powertools,1.13.0,deprecated,2021-06-11T02:01:27,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:69
aws-lambda-powertools,1.14.0,deprecated,2021-06-18T02:01:23,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:70
aws-lambda-powertools,1.14.0,deprecated,2021-06-25T02:01:39,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:71
aws-lambda-powertools,1.14.0,deprecated,2021-07-02T02:02:21,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:72
aws-lambda-powertools,1.14.0,deprecated,2021-07-09T02:01:31,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:73
aws-lambda-powertools,1.15.0,deprecated,2021-07-16T02:01:28,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:74
aws-lambda-powertools,1.15.1,deprecated,2021-07-23T02:01:56,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:75
aws-lambda-powertools,1.16.1,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:76
aws-psycopg2,1.2.1,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-psycopg2:1
aws-requests-auth,0.4.3,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-requests-auth:8
aws-xray-sdk,2.6.0,deprecated,2021-05-28T02:02:40,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:68
aws-xray-sdk,2.7.0,deprecated,2021-06-04T02:01:48,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:69
aws-xray-sdk,2.7.0,deprecated,2021-06-11T02:00:40,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:70
aws-xray-sdk,2.7.0,deprecated,2021-06-18T02:03:18,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:71
aws-xray-sdk,2.7.0,deprecated,2021-06-25T02:01:41,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:72
aws-xray-sdk,2.7.0,deprecated,2021-07-02T02:00:52,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:73
aws-xray-sdk,2.8.0,deprecated,2021-07-09T02:00:58,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:74
aws-xray-sdk,2.8.0,deprecated,2021-07-16T02:02:20,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:75
aws-xray-sdk,2.8.0,deprecated,2021-07-23T02:02:33,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:76
aws-xray-sdk,2.8.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-aws-xray-sdk:77
bcrypt,3.2.0,deprecated,2021-07-09T02:00:44,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-bcrypt:10
bcrypt,3.2.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-bcrypt:11
beautifulsoup4,4.9.3,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-beautifulsoup4:10
black,20.8b1,deprecated,2021-06-04T02:01:21,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-black:15
black,20.8b1,deprecated,2021-06-11T02:01:38,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-black:16
black,20.8b1,deprecated,2021-06-25T02:01:40,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-black:17
black,21.4b0,deprecated,2021-07-02T02:01:37,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-black:18
black,21.4b2,deprecated,2021-07-09T02:01:14,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-black:19
black,21.5b0,deprecated,2021-07-16T02:01:13,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-black:20
black,21.5b1,deprecated,2021-07-23T02:01:02,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-black:21
black,21.5b1,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-black:22
boltons,20.2.1,deprecated,2021-07-16T02:00:59,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boltons:5
boltons,21.0.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boltons:6
boto3,1.17.33,deprecated,2021-05-28T02:00:52,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:67
boto3,1.17.39,deprecated,2021-06-04T02:00:45,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:68
boto3,1.17.44,deprecated,2021-06-11T02:01:34,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:69
boto3,1.17.49,deprecated,2021-06-18T02:00:54,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:70
boto3,1.17.53,deprecated,2021-06-25T02:02:08,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:71
boto3,1.17.57,deprecated,2021-07-02T02:02:24,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:72
boto3,1.17.62,deprecated,2021-07-09T02:02:16,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:73
boto3,1.17.69,deprecated,2021-07-16T02:01:03,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:74
boto3,1.17.73,deprecated,2021-07-23T02:02:32,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:75
boto3,1.17.78,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-boto3:76
Cerberus,1.3.2,deprecated,2021-06-11T02:00:25,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-Cerberus:1
Cerberus,1.3.3,deprecated,2021-07-09T02:01:11,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-Cerberus:2
Cerberus,1.3.4,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-Cerberus:3
chevron,0.14.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-chevron:2
cloudsplaining,0.3.0,deprecated,2021-05-28T02:03:04,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:46
cloudsplaining,0.3.2,deprecated,2021-06-04T02:01:04,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:47
cloudsplaining,0.3.2,deprecated,2021-06-11T02:01:26,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:48
cloudsplaining,0.4.1,deprecated,2021-06-18T02:01:46,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:49
cloudsplaining,0.4.1,deprecated,2021-06-25T02:02:34,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:50
cloudsplaining,0.4.2,deprecated,2021-07-02T02:00:39,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:51
cloudsplaining,0.4.2,deprecated,2021-07-09T02:02:29,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:52
cloudsplaining,0.4.2,deprecated,2021-07-16T02:02:12,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:53
cloudsplaining,0.4.2,deprecated,2021-07-23T02:01:06,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:54
cloudsplaining,0.4.2,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-cloudsplaining:55
construct,2.10.61,deprecated,2021-05-28T02:01:04,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-construct:8
construct,2.10.63,deprecated,2021-06-04T02:00:42,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-construct:9
construct,2.10.66,deprecated,2021-06-25T02:01:07,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-construct:10
construct,2.10.67,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-construct:11
crhelper,2.0.9,deprecated,2021-06-18T02:00:31,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-crhelper:7
crhelper,2.0.10,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-crhelper:8
datadog,0.40.1,deprecated,2021-06-04T02:01:44,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-datadog:6
datadog,0.40.1,deprecated,2021-06-11T02:01:34,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-datadog:7
datadog,0.40.1,deprecated,2021-06-18T02:00:39,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-datadog:8
datadog,0.41.0,deprecated,2021-07-16T02:00:31,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-datadog:9
datadog,0.41.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-datadog:10
dynamodb-encryption-sdk,2.0.0,deprecated,2021-05-28T02:01:43,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:62
dynamodb-encryption-sdk,2.0.0,deprecated,2021-06-04T02:02:35,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:63
dynamodb-encryption-sdk,2.0.0,deprecated,2021-06-11T02:02:11,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:64
dynamodb-encryption-sdk,2.0.0,deprecated,2021-06-18T02:00:43,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:65
dynamodb-encryption-sdk,2.0.0,deprecated,2021-06-25T02:00:37,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:66
dynamodb-encryption-sdk,2.0.0,deprecated,2021-07-02T02:01:46,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:67
dynamodb-encryption-sdk,2.0.0,deprecated,2021-07-09T02:01:38,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:68
dynamodb-encryption-sdk,2.0.0,deprecated,2021-07-16T02:01:04,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:69
dynamodb-encryption-sdk,2.0.0,deprecated,2021-07-23T02:02:37,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:70
dynamodb-encryption-sdk,2.0.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:71
elasticsearch,7.11.0,deprecated,2021-05-28T02:00:59,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-elasticsearch:20
elasticsearch,7.12.0,deprecated,2021-07-02T02:00:55,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-elasticsearch:21
elasticsearch,7.12.1,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-elasticsearch:22
envelopes,0.4,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-envelopes:1
exchangelib,4.1.0,deprecated,2021-05-28T02:02:36,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-exchangelib:23
exchangelib,4.1.0,deprecated,2021-06-25T02:02:33,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-exchangelib:24
exchangelib,4.2.0,deprecated,2021-07-09T02:02:54,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-exchangelib:25
exchangelib,4.2.0,deprecated,2021-07-16T02:01:44,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-exchangelib:26
exchangelib,4.3.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-exchangelib:27
ffmpeg-python,0.2.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-ffmpeg-python:1
flashtext,2.7,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-flashtext:1
geopy,2.1.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-geopy:2
google-auth,1.28.0,deprecated,2021-06-11T02:00:47,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth:40
google-auth,1.28.1,deprecated,2021-06-18T02:02:19,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth:41
google-auth,1.29.0,deprecated,2021-07-02T02:00:49,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth:42
google-auth,1.30.0,deprecated,2021-07-09T02:00:38,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth:43
google-auth,1.30.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth:44
google-auth-oauthlib,0.4.3,deprecated,2021-06-04T02:01:30,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth-oauthlib:48
google-auth-oauthlib,0.4.4,deprecated,2021-06-11T02:01:30,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth-oauthlib:49
google-auth-oauthlib,0.4.4,deprecated,2021-06-18T02:01:35,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth-oauthlib:50
google-auth-oauthlib,0.4.4,deprecated,2021-07-02T02:01:25,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth-oauthlib:51
google-auth-oauthlib,0.4.4,deprecated,2021-07-09T02:01:40,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth-oauthlib:52
google-auth-oauthlib,0.4.4,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-google-auth-oauthlib:53
graphene,2.1.8,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-graphene:2
grpcio,1.36.1,deprecated,2021-06-11T02:01:44,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-grpcio:18
grpcio,1.37.0,deprecated,2021-07-02T02:01:37,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-grpcio:19
grpcio,1.37.1,deprecated,2021-07-09T02:01:07,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-grpcio:20
grpcio,1.37.1,deprecated,2021-07-23T02:00:48,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-grpcio:21
grpcio,1.38.0,latest,,arn:aws:lambda:ap-northeast-1:770693421928:layer:Klayers-python38-grpcio:22
