Package,Package Version,Status,Expiry Date,Arn
aiobotocore,1.0.4,deprecated,2020-06-24T02:02:25,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aiobotocore:18
aiobotocore,1.0.4,deprecated,2020-08-07T02:02:27,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aiobotocore:19
aiobotocore,1.0.7,latest,,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aiobotocore:20
aiohttp,3.6.2,latest,,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aiohttp:8
ansible,2.9.9,deprecated,2020-06-24T02:04:34,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-ansible:13
ansible,2.9.9,deprecated,2020-08-21T02:01:17,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-ansible:14
ansible,2.9.10,latest,,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-ansible:15
arrow,0.15.6,deprecated,2020-06-24T02:01:11,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-arrow:4
arrow,0.15.6,deprecated,2020-08-21T02:01:28,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-arrow:5
arrow,0.15.7,latest,,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-arrow:6
aws-lambda-powertools,0.9.3,deprecated,2020-06-24T02:02:05,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-lambda-powertools:23
aws-lambda-powertools,0.9.3,deprecated,2020-07-01T02:02:05,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-lambda-powertools:24
aws-lambda-powertools,0.9.4,deprecated,2020-08-07T02:01:16,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-lambda-powertools:25
aws-lambda-powertools,0.9.5,deprecated,2020-08-14T02:01:09,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-lambda-powertools:26
aws-lambda-powertools,0.11.0,deprecated,2020-08-21T02:02:46,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-lambda-powertools:27
aws-lambda-powertools,1.0.0,latest,,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-lambda-powertools:28
aws-xray-sdk,2.5.0,deprecated,2020-06-24T02:02:03,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-xray-sdk:23
aws-xray-sdk,2.5.0,deprecated,2020-07-01T02:02:07,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-xray-sdk:24
aws-xray-sdk,2.5.0,deprecated,2020-08-07T02:02:28,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-xray-sdk:25
aws-xray-sdk,2.5.0,deprecated,2020-08-14T02:00:33,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-xray-sdk:26
aws-xray-sdk,2.6.0,deprecated,2020-08-21T02:01:14,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-xray-sdk:27
aws-xray-sdk,2.6.0,deprecated,2020-08-21T02:01:33,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-xray-sdk:28
aws-xray-sdk,2.6.0,latest,,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-aws-xray-sdk:29
bcrypt,3.1.7,deprecated,2020-06-24T02:01:18,arn:aws:lambda:ap-southeast-2:770693421928:layer:Klayers-python38-bcrypt:4
