Package,Package Version,Status,Expiry Date,Arn
aiobotocore,2.0.1,deprecated,2022-02-04T02:02:22,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiobotocore:63
aiobotocore,2.0.1,deprecated,2022-02-18T02:01:37,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiobotocore:64
aiobotocore,2.1.0,deprecated,2022-02-25T02:00:59,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiobotocore:65
aiobotocore,2.1.0,deprecated,2022-03-04T02:02:36,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiobotocore:66
aiobotocore,2.1.0,deprecated,2022-03-11T02:02:38,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiobotocore:67
aiobotocore,2.1.0,deprecated,2022-03-25T02:03:38,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiobotocore:68
aiobotocore,2.1.0,deprecated,2022-04-01T02:01:17,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiobotocore:69
aiobotocore,2.1.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiobotocore:70
aiohttp,3.8.1,deprecated,2022-02-04T02:01:37,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiohttp:37
aiohttp,3.8.1,deprecated,2022-02-25T02:01:39,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiohttp:38
aiohttp,3.8.1,deprecated,2022-03-04T02:01:10,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiohttp:39
aiohttp,3.8.1,deprecated,2022-03-11T02:00:54,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiohttp:40
aiohttp,3.8.1,deprecated,2022-03-25T02:00:50,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiohttp:41
aiohttp,3.8.1,deprecated,2022-04-01T02:01:29,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiohttp:42
aiohttp,3.8.1,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aiohttp:43
ansible,2.9.13,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-ansible:19
arrow,1.2.1,deprecated,2022-04-01T02:01:42,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-arrow:17
arrow,1.2.2,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-arrow:18
asyncio,3.4.3,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-asyncio:1
aws-lambda-powertools,1.22.0,deprecated,2022-02-04T02:01:00,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:103
aws-lambda-powertools,1.22.0,deprecated,2022-02-11T02:01:09,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:104
aws-lambda-powertools,1.22.0,deprecated,2022-02-18T02:01:24,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:105
aws-lambda-powertools,1.22.0,deprecated,2022-02-25T02:01:26,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:106
aws-lambda-powertools,1.23.0,deprecated,2022-03-04T02:01:08,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:107
aws-lambda-powertools,1.24.0,deprecated,2022-03-11T02:01:13,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:108
aws-lambda-powertools,1.24.0,deprecated,2022-03-18T02:01:25,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:109
aws-lambda-powertools,1.24.0,deprecated,2022-03-25T02:00:57,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:110
aws-lambda-powertools,1.24.2,deprecated,2022-04-01T02:01:49,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:111
aws-lambda-powertools,1.24.2,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:112
aws-psycopg2,1.2.1,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-psycopg2:1
aws-requests-auth,0.4.3,deprecated,2022-02-04T02:01:16,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-requests-auth:17
aws-requests-auth,0.4.3,deprecated,2022-03-11T02:00:40,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-requests-auth:18
aws-requests-auth,0.4.3,deprecated,2022-04-01T02:00:47,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-requests-auth:19
aws-requests-auth,0.4.3,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-requests-auth:20
aws-xray-sdk,2.8.0,deprecated,2022-02-04T02:01:24,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-xray-sdk:104
aws-xray-sdk,2.8.0,deprecated,2022-02-11T02:02:05,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-xray-sdk:105
aws-xray-sdk,2.9.0,deprecated,2022-02-18T02:02:34,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-xray-sdk:106
aws-xray-sdk,2.9.0,deprecated,2022-02-25T02:00:56,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-xray-sdk:107
aws-xray-sdk,2.9.0,deprecated,2022-03-11T02:02:48,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-xray-sdk:108
aws-xray-sdk,2.9.0,deprecated,2022-03-18T02:01:18,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-xray-sdk:109
aws-xray-sdk,2.9.0,deprecated,2022-03-25T02:00:42,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-xray-sdk:110
aws-xray-sdk,2.9.0,deprecated,2022-04-01T02:02:23,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-xray-sdk:111
aws-xray-sdk,2.9.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-aws-xray-sdk:112
bcrypt,3.2.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-bcrypt:14
beautifulsoup4,4.10.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-beautifulsoup4:13
black,21.11b1,deprecated,2022-02-04T02:00:40,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-black:42
black,21.12b0,deprecated,2022-02-18T02:00:41,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-black:43
black,21.12b0,deprecated,2022-02-25T02:00:32,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-black:44
black,21.12b0,deprecated,2022-04-01T02:01:54,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-black:45
black,22.1.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-black:46
boltons,21.0.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boltons:6
boto3,1.20.14,deprecated,2022-02-04T02:02:21,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boto3:103
boto3,1.20.20,deprecated,2022-02-11T02:00:41,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boto3:104
boto3,1.20.23,deprecated,2022-02-18T02:01:24,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boto3:105
boto3,1.20.24,deprecated,2022-02-25T02:02:38,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boto3:106
boto3,1.20.26,deprecated,2022-03-11T02:01:47,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boto3:107
boto3,1.20.31,deprecated,2022-03-18T02:02:45,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boto3:108
boto3,1.20.37,deprecated,2022-03-25T02:02:03,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boto3:109
boto3,1.20.41,deprecated,2022-04-01T02:02:40,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boto3:110
boto3,1.20.46,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-boto3:111
Cerberus,1.3.4,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-Cerberus:3
chevron,0.14.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-chevron:2
cloudsplaining,0.4.6,deprecated,2022-02-04T02:03:03,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:82
cloudsplaining,0.4.8,deprecated,2022-02-11T02:02:51,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:83
cloudsplaining,0.4.9,deprecated,2022-02-18T02:02:05,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:84
cloudsplaining,0.4.9,deprecated,2022-02-25T02:02:36,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:85
cloudsplaining,0.4.9,deprecated,2022-03-04T02:01:07,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:86
cloudsplaining,0.4.9,deprecated,2022-03-11T02:02:47,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:87
cloudsplaining,0.4.9,deprecated,2022-03-18T02:02:36,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:88
cloudsplaining,0.4.10,deprecated,2022-03-25T02:02:27,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:89
cloudsplaining,0.4.10,deprecated,2022-04-01T02:03:31,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:90
cloudsplaining,0.4.10,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cloudsplaining:91
construct,2.10.67,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-construct:11
crhelper,2.0.10,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-crhelper:8
cryptography,36.0.0,deprecated,2022-02-18T02:00:43,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cryptography:4
cryptography,36.0.1,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-cryptography:5
datadog,0.42.0,deprecated,2022-02-04T02:00:37,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-datadog:20
datadog,0.42.0,deprecated,2022-02-11T02:01:03,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-datadog:21
datadog,0.43.0,deprecated,2022-03-11T02:01:49,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-datadog:22
datadog,0.43.0,deprecated,2022-04-01T02:01:21,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-datadog:23
datadog,0.43.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-datadog:24
dropbox,11.25.0,deprecated,2022-02-04T02:01:37,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dropbox:13
dropbox,11.25.0,deprecated,2022-03-11T02:01:11,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dropbox:14
dropbox,11.25.0,deprecated,2022-04-01T02:01:08,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dropbox:15
dropbox,11.26.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dropbox:16
dynamodb-encryption-sdk,3.1.0,deprecated,2022-02-04T02:00:45,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:98
dynamodb-encryption-sdk,3.1.0,deprecated,2022-02-11T02:01:50,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:99
dynamodb-encryption-sdk,3.1.0,deprecated,2022-02-18T02:01:22,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:100
dynamodb-encryption-sdk,3.1.0,deprecated,2022-02-25T02:00:44,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:101
dynamodb-encryption-sdk,3.1.0,deprecated,2022-03-04T02:01:25,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:102
dynamodb-encryption-sdk,3.1.0,deprecated,2022-03-11T02:02:48,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:103
dynamodb-encryption-sdk,3.1.0,deprecated,2022-03-18T02:00:59,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:104
dynamodb-encryption-sdk,3.1.0,deprecated,2022-03-25T02:00:47,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:105
dynamodb-encryption-sdk,3.1.0,deprecated,2022-04-01T02:01:31,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:106
dynamodb-encryption-sdk,3.1.0,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-dynamodb-encryption-sdk:107
elasticsearch,7.15.2,deprecated,2022-02-11T02:00:26,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-elasticsearch:33
elasticsearch,7.16.0,deprecated,2022-02-18T02:00:37,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-elasticsearch:34
elasticsearch,7.16.1,deprecated,2022-03-04T02:01:14,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-elasticsearch:35
elasticsearch,7.16.2,deprecated,2022-03-11T02:01:20,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-elasticsearch:36
elasticsearch,7.16.2,deprecated,2022-03-18T02:01:16,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-elasticsearch:37
elasticsearch,7.16.3,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-elasticsearch:38
envelopes,0.4,latest,,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-envelopes:1
exchangelib,4.6.1,deprecated,2022-02-04T02:02:17,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-exchangelib:46
exchangelib,4.6.1,deprecated,2022-02-11T02:01:43,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-exchangelib:47
exchangelib,4.6.2,deprecated,2022-02-18T02:01:54,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-exchangelib:48
exchangelib,4.6.2,deprecated,2022-03-04T02:02:11,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-exchangelib:49
exchangelib,4.6.2,deprecated,2022-03-11T02:01:43,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-exchangelib:50
exchangelib,4.6.2,deprecated,2022-03-18T02:03:09,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-exchangelib:51
exchangelib,4.7.0,deprecated,2022-03-25T02:03:08,arn:aws:lambda:ca-central-1:770693421928:layer:Klayers-python38-exchangelib:52
