Package,Package Version,Status,Expiry Date,Arn
aiobotocore,1.4.0,deprecated,2021-10-29T02:02:32,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiobotocore:53
aiobotocore,1.4.1,deprecated,2021-11-05T02:00:53,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiobotocore:54
aiobotocore,1.4.1,deprecated,2021-11-26T02:01:25,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiobotocore:55
aiobotocore,1.4.1,deprecated,2021-12-03T02:02:17,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiobotocore:56
aiobotocore,1.4.1,deprecated,2021-12-10T02:01:28,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiobotocore:57
aiobotocore,1.4.2,deprecated,2021-12-17T02:02:44,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiobotocore:58
aiobotocore,1.4.2,latest,,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiobotocore:59
aiohttp,3.7.4.post0,deprecated,2021-10-29T02:00:34,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiohttp:28
aiohttp,3.7.4.post0,deprecated,2021-11-05T02:00:49,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiohttp:29
aiohttp,3.7.4.post0,deprecated,2021-12-03T02:01:37,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiohttp:30
aiohttp,3.7.4.post0,deprecated,2021-12-10T02:00:56,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiohttp:31
aiohttp,3.7.4.post0,deprecated,2021-12-17T02:00:56,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiohttp:32
aiohttp,3.7.4.post0,latest,,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-aiohttp:33
ansible,2.9.13,latest,,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-ansible:19
arrow,1.1.1,deprecated,2021-12-03T02:00:24,arn:aws:lambda:eu-west-3:770693421928:layer:Klayers-python38-arrow:15
