Package,Package Version,Status,Expiry Date,Arn
aiobotocore,1.0.4,deprecated,2020-08-07T02:02:03,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aiobotocore:19
aiobotocore,1.0.7,deprecated,2020-08-28T02:00:49,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aiobotocore:20
aiobotocore,1.0.7,deprecated,2020-09-25T02:00:50,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aiobotocore:21
aiobotocore,1.0.7,deprecated,2020-10-02T02:01:33,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aiobotocore:22
aiobotocore,1.0.7,latest,,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aiobotocore:23
aiohttp,3.6.2,deprecated,2020-08-28T02:00:46,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aiohttp:8
aiohttp,3.6.2,deprecated,2020-09-25T02:01:26,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aiohttp:9
aiohttp,3.6.2,deprecated,2020-10-02T02:01:07,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aiohttp:10
aiohttp,3.6.2,latest,,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aiohttp:11
ansible,2.9.9,deprecated,2020-08-21T02:03:24,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-ansible:14
ansible,2.9.10,deprecated,2020-09-25T02:05:28,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-ansible:15
ansible,2.9.11,latest,,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-ansible:16
arrow,0.15.6,deprecated,2020-08-21T02:00:30,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-arrow:5
arrow,0.15.7,deprecated,2020-09-25T02:01:02,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-arrow:6
arrow,0.15.8,latest,,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-arrow:7
aws-lambda-powertools,0.9.4,deprecated,2020-08-07T02:01:30,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:25
aws-lambda-powertools,0.9.5,deprecated,2020-08-14T02:02:34,arn:aws:lambda:sa-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:26
