Package,Package Version,Status,Expiry Date,Arn
aiobotocore,1.0.7,deprecated,2020-08-28T02:02:14,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiobotocore:20
aiobotocore,1.0.7,deprecated,2020-09-25T02:01:19,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiobotocore:21
aiobotocore,1.0.7,deprecated,2020-10-02T02:00:50,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiobotocore:22
aiobotocore,1.0.7,deprecated,2020-10-23T02:01:33,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiobotocore:23
aiobotocore,1.1.0,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiobotocore:24
aiohttp,3.6.2,deprecated,2020-08-28T02:00:36,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiohttp:8
aiohttp,3.6.2,deprecated,2020-09-25T02:00:22,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiohttp:9
aiohttp,3.6.2,deprecated,2020-10-02T02:01:19,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiohttp:10
aiohttp,3.6.2,deprecated,2020-10-23T02:01:18,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiohttp:11
aiohttp,3.6.2,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aiohttp:12
ansible,2.9.10,deprecated,2020-09-25T02:04:19,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-ansible:15
ansible,2.9.11,deprecated,2020-10-16T02:02:17,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-ansible:16
ansible,2.9.12,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-ansible:17
arrow,0.15.7,deprecated,2020-09-25T02:01:13,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-arrow:6
arrow,0.15.8,deprecated,2020-10-23T02:01:06,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-arrow:7
arrow,0.16.0,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-arrow:8
aws-lambda-powertools,1.0.0,deprecated,2020-08-28T02:01:34,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:28
aws-lambda-powertools,1.0.0,deprecated,2020-09-04T02:02:25,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:29
aws-lambda-powertools,1.0.1,deprecated,2020-09-11T02:01:32,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:30
aws-lambda-powertools,1.0.1,deprecated,2020-09-18T02:02:02,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:31
aws-lambda-powertools,1.0.2,deprecated,2020-09-25T02:02:02,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:32
aws-lambda-powertools,1.0.2,deprecated,2020-10-02T02:02:14,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:33
aws-lambda-powertools,1.0.2,deprecated,2020-10-09T02:00:39,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:34
aws-lambda-powertools,1.0.2,deprecated,2020-10-16T02:00:37,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:35
aws-lambda-powertools,1.1.2,deprecated,2020-10-23T02:02:17,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:36
aws-lambda-powertools,1.3.1,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-lambda-powertools:37
aws-requests-auth,0.4.3,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-requests-auth:1
aws-xray-sdk,2.6.0,deprecated,2020-08-28T02:01:14,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:29
aws-xray-sdk,2.6.0,deprecated,2020-09-04T02:02:14,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:30
aws-xray-sdk,2.6.0,deprecated,2020-09-11T02:02:06,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:31
aws-xray-sdk,2.6.0,deprecated,2020-09-18T02:00:39,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:32
aws-xray-sdk,2.6.0,deprecated,2020-09-25T02:00:42,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:33
aws-xray-sdk,2.6.0,deprecated,2020-10-02T02:01:59,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:34
aws-xray-sdk,2.6.0,deprecated,2020-10-09T02:01:58,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:35
aws-xray-sdk,2.6.0,deprecated,2020-10-16T02:00:51,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:36
aws-xray-sdk,2.6.0,deprecated,2020-10-23T02:01:26,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:37
aws-xray-sdk,2.6.0,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-aws-xray-sdk:38
bcrypt,3.1.7,deprecated,2020-09-25T02:01:03,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-bcrypt:5
bcrypt,3.1.7,deprecated,2020-10-16T02:01:05,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-bcrypt:6
bcrypt,3.2.0,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-bcrypt:7
beautifulsoup4,4.9.1,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-beautifulsoup4:5
black,19.10b0,deprecated,2020-09-18T02:00:39,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-black:3
black,19.10b0,deprecated,2020-10-23T02:01:03,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-black:4
black,19.10b0,latest,,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-black:5
boltons,20.1.0,deprecated,2020-08-28T02:00:27,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-boltons:3
boltons,20.2.0,deprecated,2020-10-16T02:00:23,arn:aws:lambda:us-east-1:770693421928:layer:Klayers-python38-boltons:4
