Code,Name
us-east-1,US East (N. Virginia)
us-east-2,US East (Ohio)
us-west-1,US West (N. California)
us-west-2,US West (Oregon)
ca-central-1,Canada (Central)
eu-central-1,EU (Frankfurt)
eu-west-1,EU (Ireland)
eu-west-2,EU (London)
eu-west-3,EU (Paris)
eu-north-1,EU (Stockholm)
eu-south-1,EU (Milan)
ap-northeast-1,Asia Pacific (Tokyo)
ap-northeast-2,Asia Pacific (Seoul)
ap-southeast-1,Asia Pacific (Singapore)
ap-southeast-2,Asia Pacific (Sydney)
ap-southeast-3,Asia Pacific (Jakarta)
ap-southeast-4,Asia Pacific (Melbourne)
ap-southeast-5,Asia Pacific (Malaysia)
ap-south-1,Asia Pacific (Mumbai)
sa-east-1,South America (São Paulo)
ap-east-1, Asia Pacific (Hong Kong)
me-south-1,Middle East (Bahrain)
af-south-1,Africa (Cape Town)
il-central-1,Israel (Tel Aviv)
